k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
0,0.0,0.0,0.0,65.0,0.0,65.0,0.0,0.0,65.0,0.0,-121.09766227634482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
1,0.001,0.06498194945848376,0.0,65.0,0.0,65.0,0.06493945116886184,0.0,64.87890233772366,0.0,-119.9021445590517,4.249828962192559e-05,0.0,0.12109766227634111,0.0,0.12109766227634111,0.06498194945848376,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
2,0.002,0.12996389891696752,0.0,65.0,0.0,65.0,0.12975840243430597,0.0,64.75900019316461,0.0,-118.70674132711386,0.00020549648266154907,0.0,0.24099980683539002,0.0,0.24099980683539002,0.12996389891696752,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
3,0.003,0.19494584837545126,0.0,65.0,0.0,65.0,0.19445804925680701,0.0,64.6402934518375,0.0,-117.51156700739618,0.0004877991186442443,0.0,0.3597065481625066,0.0,0.3597065481625066,0.19494584837545126,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
4,0.004,0.25992779783393505,0.0,65.0,0.0,65.0,0.25903958692514084,0.0,64.5227818848301,0.0,-116.31673488438753,0.0008882109087942069,0.0,0.4772181151699044,0.0,0.4772181151699044,0.25992779783393505,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
5,0.005,0.3249097472924188,0.0,65.0,0.0,65.0,0.3235042104425287,0.0,64.4064651499457,0.0,-115.12235710043471,0.0014055368498900878,0.0,0.5935348500542972,0.0,0.5935348500542972,0.3249097472924188,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
6,0.006,0.3898916967509025,0.0,65.0,0.0,65.0,0.38785311441392417,0.0,64.29134279284527,0.0,-113.92854465608403,0.002038582336978345,0.0,0.7086572071547295,0.0,0.7086572071547295,0.3898916967509025,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
7,0.007,0.45487364620938625,0.0,65.0,0.0,65.0,0.4520874929344414,0.0,64.17741424818918,0.0,-112.73540741053048,0.002786153274944858,0.0,0.8225857518108199,0.0,0.8225857518108199,0.45487364620938625,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
8,0.008,0.5198555956678701,0.0,65.0,0.0,65.0,0.5162085394789253,0.0,64.06467884077865,0.0,-111.54305408217326,0.003647056188944786,0.0,0.9353211592213455,0.0,0.9353211592213455,0.5198555956678701,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
9,0.009000000000000001,0.5848375451263538,0.0,65.0,0.0,65.0,0.5802174467926628,0.0,63.95313578669648,0.0,-110.35159224927443,0.004620098333690925,0.0,1.0468642133035218,0.0,1.0468642133035218,0.5848375451263538,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
10,0.01,0.6498194945848376,0.0,65.0,0.0,65.0,0.6441154067832346,0.0,63.842784194447205,0.0,-109.16112835072366,0.0057040878016029195,0.0,1.157215805552795,0.0,1.157215805552795,0.6498194945848376,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
11,0.011,0.7148014440433214,0.0,65.0,0.0,65.0,0.7079036104135065,0.0,63.733623066096484,0.0,-107.97176768690339,0.006897833629814887,0.0,1.2663769339035156,0.0,1.2663769339035156,0.7148014440433214,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
12,0.012,0.779783393501805,0.0,65.0,0.0,65.0,0.7715832475957596,0.0,63.62565129840958,0.0,-106.78361442065705,0.008200145906045453,0.0,1.3743487015904208,0.0,1.3743487015904208,0.779783393501805,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
13,0.013000000000000001,0.8447653429602888,0.0,65.0,0.0,65.0,0.8351555070869588,0.0,63.51886768398892,0.0,-105.59677157835759,0.009609835873329975,0.0,1.4811323160110774,0.0,1.4811323160110774,0.8447653429602888,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
14,0.014,0.9097472924187725,0.0,65.0,0.0,65.0,0.8986215763851586,0.0,63.41327091241057,0.0,-104.41134105107442,0.011125716033613897,0.0,1.5867290875894327,0.0,1.5867290875894327,0.9097472924187725,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
15,0.015,0.9747292418772563,0.0,65.0,0.0,65.0,0.9619826416270436,0.0,63.30885957135949,0.0,-103.22742359583972,0.01274660025021268,0.0,1.6911404286405087,0.0,1.6911404286405087,0.9747292418772563,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
16,0.016,1.0397111913357402,0.0,65.0,0.0,65.0,1.0252398874866053,0.0,63.20563214776365,0.0,-102.0451188370119,0.014471303849134864,0.0,1.7943678522363484,0.0,1.7943678522363484,1.0397111913357402,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
17,0.017,1.1046931407942238,0.0,65.0,0.0,65.0,1.0883944970749504,0.0,63.10358702892664,0.0,-100.86452526773407,0.016298643719273365,0.0,1.8964129710733602,0.0,1.8964129710733602,1.1046931407942238,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
18,0.018000000000000002,1.1696750902527075,0.0,65.0,0.0,65.0,1.1514476518412433,0.0,63.00272250365891,0.0,-99.68574025148918,0.018227438411464236,0.0,1.9972774963410913,0.0,1.9972774963410913,1.1696750902527075,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
19,0.019,1.2346570397111913,0.0,65.0,0.0,65.0,1.2144005314747766,0.0,62.90303676340742,0.0,-98.50886002374789,0.020256508236414783,0.0,2.096963236592579,0.0,2.096963236592579,1.2346570397111913,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
20,0.02,1.2996389891696751,0.0,65.0,0.0,65.0,1.277254313808172,0.0,62.80452790338367,0.0,-97.33397969371,0.022384675361503126,0.0,2.195472096616328,0.0,2.195472096616328,1.2996389891696751,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
21,0.021,1.3646209386281587,0.0,65.0,0.0,65.0,1.3400101747217088,0.0,62.707193923689964,0.0,-96.16119324613744,0.024610763906449895,0.0,2.292806076310036,0.0,2.292806076310036,1.3646209386281587,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
22,0.022,1.4296028880866427,0.0,65.0,0.0,65.0,1.4026692880487759,0.0,62.611032730443824,0.0,-94.99059354327802,0.026933600037866823,0.0,2.3889672695561757,0.0,2.3889672695561757,1.4296028880866427,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
23,0.023,1.4945848375451263,0.0,65.0,0.0,65.0,1.465232825482448,0.0,62.516042136900545,0.0,-93.82227232687872,0.029352012062678234,0.0,2.483957863099455,0.0,2.483957863099455,1.4945848375451263,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
24,0.024,1.55956678700361,0.0,65.0,0.0,65.0,1.5277019564831853,0.0,62.42221986457366,0.0,-92.65632022028812,0.03186483052042477,0.0,2.5777801354263374,0.0,2.5777801354263374,1.55956678700361,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
