k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,80.0,0.0,-148.95523398002643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
1,0.001,0.08,0.0,80.0,0.0,80.0,0.07992552238300998,0.0,79.85104476601997,0.0,-147.48255061101457,7.447761699001798e-05,0.0,0.14895523398003263,0.0,0.14895523398003263,0.08,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
2,0.002,0.16,0.0,80.0,0.0,80.0,0.15970282587372442,0.0,79.70356221540895,0.0,-146.0100292821251,0.0002971741262755845,0.0,0.2964377845910491,0.0,0.2964377845910491,0.16,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
3,0.003,0.24,0.0,80.0,0.0,80.0,0.2393333830744923,0.0,79.55755218612683,0.0,-144.53781074089522,0.0006666169255076793,0.0,0.4424478138731729,0.0,0.4424478138731729,0.24,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
4,0.004,0.32,0.0,80.0,0.0,80.0,0.3188186663552487,0.0,79.41301437538593,0.0,-143.06603432766346,0.0011813336447513145,0.0,0.5869856246140728,0.0,0.5869856246140728,0.32,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
5,0.005,0.4,0.0,80.0,0.0,80.0,0.3981601477134708,0.0,79.26994834105827,0.0,-141.5948379758776,0.00183985228652922,0.0,0.7300516589417327,0.0,0.7300516589417327,0.4,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
6,0.006,0.48,0.0,80.0,0.0,80.0,0.47735929863554116,0.0,79.1283535030824,0.0,-140.12435821253567,0.0026407013644588195,0.0,0.8716464969176059,0.0,0.8716464969176059,0.48,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
7,0.007,0.56,0.0,80.0,0.0,80.0,0.5564175899595172,0.0,78.98822914486986,0.0,-138.65473015875796,0.003582410040482875,0.0,1.0117708551301376,0.0,1.0117708551301376,0.56,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
8,0.008,0.64,0.0,80.0,0.0,80.0,0.6353364917393076,0.0,78.8495744147111,0.0,-137.1860875304912,0.004663508260692395,0.0,1.1504255852889003,0.0,1.1504255852889003,0.64,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
9,0.009000000000000001,0.72,0.0,80.0,0.0,80.0,0.7141174731102534,0.0,78.7123883271806,0.0,-135.7185626393389,0.005882526889746553,0.0,1.287611672819395,0.0,1.287611672819395,0.72,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
10,0.01,0.8,0.0,80.0,0.0,80.0,0.7927620021561144,0.0,78.57666976454126,0.0,-134.2522863935218,0.00723799784388568,0.0,1.4233302354587352,0.0,1.4233302354587352,0.8,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
11,0.011,0.88,0.0,80.0,0.0,80.0,0.8712715457774588,0.0,78.44241747814775,0.0,-132.7873882989629,0.008728454222541204,0.0,1.5575825218522539,0.0,1.5575825218522539,0.88,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
12,0.012,0.96,0.0,80.0,0.0,80.0,0.949647569561457,0.0,78.30963008984878,0.0,-131.32399646049836,0.010352430438542948,0.0,1.6903699101512188,0.0,1.6903699101512188,0.96,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
13,0.013000000000000001,1.04,0.0,80.0,0.0,80.0,1.0278915376530755,0.0,78.17830609338829,0.0,-129.86223758321145,0.012108462346924531,0.0,1.8216939066117135,0.0,1.8216939066117135,1.04,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
14,0.014,1.12,0.0,80.0,0.0,80.0,1.106004912627672,0.0,78.04844385580508,0.0,-128.40223697388922,0.013995087372328019,0.0,1.9515561441949245,0.0,1.9515561441949245,1.12,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
15,0.015,1.2,0.0,80.0,0.0,80.0,1.1839891553649902,0.0,77.92004161883119,0.0,-126.9441185425994,0.01601084463500979,0.0,2.079958381168808,0.0,2.079958381168808,1.2,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
16,0.016,1.28,0.0,80.0,0.0,80.0,1.26184572492455,0.0,77.7930975002886,0.0,-125.48800480438777,0.018154275075449977,0.0,2.206902499711404,0.0,2.206902499711404,1.28,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
17,0.017,1.36,0.0,80.0,0.0,80.0,1.3395760784224364,0.0,77.66760949548421,0.0,-124.0340168810928,0.020423921577563675,0.0,2.332390504515786,0.0,2.332390504515786,1.36,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
18,0.018000000000000002,1.44,0.0,80.0,0.0,80.0,1.4171816709094802,0.0,77.54357547860312,0.0,-122.58227450327772,0.02281832909051973,0.0,2.456424521396883,0.0,2.456424521396883,1.44,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
19,0.019,1.52,0.0,80.0,0.0,80.0,1.4946639552508316,0.0,77.42099320409984,0.0,-121.13289601227837,0.025336044749168396,0.0,2.579006795900156,0.0,2.579006795900156,1.52,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
20,0.02,1.6,0.0,80.0,0.0,80.0,1.5720243820069253,0.0,77.29986030808756,0.0,-119.6859983623644,0.027975617993074797,0.0,2.7001396919124403,0.0,2.7001396919124403,1.6,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
21,0.021,1.68,0.0,80.0,0.0,80.0,1.6492643993158318,0.0,77.18017430972519,0.0,-118.24169712301482,0.03073560068416814,0.0,2.8198256902748113,0.0,2.8198256902748113,1.68,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
22,0.022,1.76,0.0,80.0,0.0,80.0,1.7263854527769955,0.0,77.06193261260218,0.0,-116.80010648130362,0.0336145472230045,0.0,2.9380673873978225,0.0,2.9380673873978225,1.76,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
23,0.023,1.84,0.0,80.0,0.0,80.0,1.803388985336357,0.0,76.94513250612087,0.0,-115.3613392443964,0.03661101466364314,0.0,3.0548674938791294,0.0,3.0548674938791294,1.84,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
