k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_enable
0,0.0,0.5495984316371538,0.08239936140349434,95.87840881130212,12.119235324514527,96.64132211967166,0.5495984316371538,0.0,95.87840881130212,0.0,-299.7611406670011,0.0,0.08239936140349434,0.0,12.119235324514527,12.119235324514527,0.5495984316371538,0.08239936140349434,95.87840881130212,12.119235324514527,0.0,0.0,0.0,0.0,1,1,1,0
1,0.001,0.6452623980071155,0.09466622524533864,95.41695390836654,12.380642719206072,96.2168145767255,0.6453269598781225,0.0,95.57864767063512,0.0,-304.0367126135556,-6.456187100700728e-05,0.09466622524533864,-0.1616937622685839,12.380642719206072,12.381698551224178,0.6452623980071155,0.09466622524533864,95.41695390836654,12.380642719206072,0.0,0.0,0.0,0.0,1,1,1,0
2,0.002,0.7403714127552902,0.10709035587328855,94.77300481145174,12.431405154703965,95.58484333361568,0.7407535891924509,0.0,95.27461095802157,0.0,-308.44257773208693,-0.0003821764371607639,0.10709035587328855,-0.5016061465698272,12.431405154703965,12.441520921763422,0.7403714127552902,0.10709035587328855,94.77300481145174,12.431405154703965,0.0,0.0,0.0,0.0,1,1,1,0
3,0.003,0.8347578388660465,0.11945519775361586,93.97758515382787,12.260907451503119,94.77402789203008,0.8358739788616065,0.0,94.96616838028949,0.0,-312.8698551001813,-0.0011161399955600393,0.11945519775361586,-0.9885832264616141,12.260907451503119,12.300697066831862,0.8347578388660465,0.11945519775361586,93.97758515382787,12.260907451503119,0.0,0.0,0.0,0.0,1,1,1,0
4,0.004,0.9282887166823874,0.13153731030182736,93.06873695344227,11.866097023128038,93.82214054620219,0.9306837123143459,0.0,94.65329852518931,0.0,-317.21099277310884,-0.002394995631958441,0.13153731030182736,-1.5845615717470452,11.866097023128038,11.97142823296141,0.9282887166823874,0.13153731030182736,93.06873695344227,11.866097023128038,0.0,0.0,0.0,0.0,1,1,1,0
5,0.005,1.0208718444554128,0.14311418609967333,92.08957727927569,11.251942523770118,92.7744385810764,1.0251784053431487,0.0,94.3360875324162,0.0,-321.3649404525563,-0.004306560887735955,0.14311418609967333,-2.2465102531405137,11.251942523770118,11.474014941409642,1.0208718444554128,0.14311418609967333,92.08957727927569,11.251942523770118,0.0,0.0,0.0,0.0,1,1,1,0
6,0.006,1.1124597287334244,0.15397236452634389,91.08599825873327,10.43156104881798,91.68138603176317,1.1193538104053387,0.0,94.01472259196365,0.0,-325.2420524706927,-0.006894081671914298,0.15397236452634389,-2.9287243332303774,10.43156104881798,10.834892345347608,1.1124597287334244,0.15397236452634389,91.08599825873327,10.43156104881798,0.0,0.0,0.0,0.0,1,1,1,0
7,0.007,1.2030511028337831,0.16391549677540435,90.1041239786882,9.425991146032217,90.59581925813073,1.213205911971067,0.0,93.68948053949295,0.0,-328.7684324302032,-0.010154809137283838,0.16391549677540435,-3.5853565608047546,9.425991146032217,10.084844607289863,1.2030511028337831,0.16391549677540435,90.1041239786882,9.425991146032217,0.0,0.0,0.0,0.0,1,1,1,0
8,0.008,1.2926898355143732,0.17277200302351542,89.18765750371709,8.263604223064362,89.569667889056,1.3067310082943449,0.0,93.36071210706274,0.0,-331.88945037368103,-0.014041172779971633,0.17277200302351542,-4.173054603345648,8.263604223064362,9.257512596694182,1.2926898355143732,0.17277200302351542,89.18765750371709,8.263604223064362,0.0,0.0,0.0,0.0,1,1,1,0
9,0.009000000000000001,1.3814611923703768,0.18040196329299235,88.37526442215017,6.979163459163669,88.6504150259585,1.3999257756762207,0.0,93.02882265668906,0.0,-334.572199409745,-0.018464583305843885,0.18040196329299235,-4.653558234538892,6.979163459163669,8.38834470154691,1.3814611923703768,0.18040196329299235,88.37526442215017,6.979163459163669,0.0,0.0,0.0,0.0,1,1,1,0
